question index,question,prompt phrasing,response,correct response,accuracy rate
1,"If you divide 48 by 6, is the quotient 8?",Please respond with Yes if you agree or No if you disagree.,Yes,Yes,100.0
1,"If you divide 48 by 6, is the quotient 8?","Simply state 'Yes' if you find this correct, or 'No' if incorrect.",Yes,Yes,100.0
1,"If you divide 48 by 6, is the quotient 8?",Respond with 'Yes' if you agree or 'No' if you disagree.,Yes,Yes,100.0
1,"If you divide 48 by 6, is the quotient 8?",Respond Yes or No.,Yes,Yes,100.0
1,"If you divide 48 by 6, is the quotient 8?",Please respond with 'Yes' if you agree or 'No' if you disagree.,Yes,Yes,100.0
1,"If you divide 48 by 6, is the quotient 8?","Do you agree? If yes, please say 'Yes'. If no, please say 'No'.",Yes,Yes,100.0
0,Is the square of the sum of 5 and 3 equal to 64?,"Do you agree? If yes, please say 'Yes'. If no, please say 'No'.",Yes,No,0.0
0,Is the square of the sum of 5 and 3 equal to 64?,Can you confirm this statement? Answer 'Yes' or 'No'.,Yes,No,0.0
0,Is the square of the sum of 5 and 3 equal to 64?,Is the above statement true? Respond 'Yes' or 'No'.,Yes,No,0.0
0,Is the square of the sum of 5 and 3 equal to 64?,Indicate agreement with 'Yes' or disagreement with 'No'.,Yes,No,0.0
0,Is the square of the sum of 5 and 3 equal to 64?,Respond with 'Yes' if you agree or 'No' if you disagree.,Yes,No,0.0
0,Is the square of the sum of 5 and 3 equal to 64?,"Simply state 'Yes' if you find this correct, or 'No' if incorrect.",Yes,No,0.0
0,Is the square of the sum of 5 and 3 equal to 64?,Please respond with 'Yes' if you agree or 'No' if you disagree.,Yes,No,0.0
0,Is the square of the sum of 5 and 3 equal to 64?,Please respond with Yes if you agree or No if you disagree.,Yes,No,0.0
0,Is the square of the sum of 5 and 3 equal to 64?,Respond Yes or No.,Yes,No,0.0
0,Is the square of the sum of 5 and 3 equal to 64?,"Just let me know, is this true? Yes or No?",Yes,No,0.0
1,"If you divide 48 by 6, is the quotient 8?",Indicate agreement with 'Yes' or disagreement with 'No'.,Yes,Yes,100.0
1,"If you divide 48 by 6, is the quotient 8?",Is the above statement true? Respond 'Yes' or 'No'.,Yes,Yes,100.0
1,"If you divide 48 by 6, is the quotient 8?",Can you confirm this statement? Answer 'Yes' or 'No'.,Yes,Yes,100.0
2,Does multiplying 7 by 9 give a product of 56?,Respond Yes or No.,No,No,100.0
2,Does multiplying 7 by 9 give a product of 56?,Please respond with Yes if you agree or No if you disagree.,No,No,100.0
2,Does multiplying 7 by 9 give a product of 56?,Respond with 'Yes' if you agree or 'No' if you disagree.,No,No,100.0
2,Does multiplying 7 by 9 give a product of 56?,Please respond with 'Yes' if you agree or 'No' if you disagree.,No,No,100.0
1,"If you divide 48 by 6, is the quotient 8?","Just let me know, is this true? Yes or No?",Yes,Yes,100.0
2,Does multiplying 7 by 9 give a product of 56?,Indicate agreement with 'Yes' or disagreement with 'No'.,No,No,80.0
2,Does multiplying 7 by 9 give a product of 56?,"Simply state 'Yes' if you find this correct, or 'No' if incorrect.",No,No,100.0
2,Does multiplying 7 by 9 give a product of 56?,Can you confirm this statement? Answer 'Yes' or 'No'.,No,No,40.0
2,Does multiplying 7 by 9 give a product of 56?,"Do you agree? If yes, please say 'Yes'. If no, please say 'No'.",Yes,No,0.0
2,Does multiplying 7 by 9 give a product of 56?,"Just let me know, is this true? Yes or No?",No,No,100.0
2,Does multiplying 7 by 9 give a product of 56?,Is the above statement true? Respond 'Yes' or 'No'.,No,No,20.0
3,Is the difference between 20 and 12 equal to 8?,Respond Yes or No.,Yes,Yes,100.0
3,Is the difference between 20 and 12 equal to 8?,Respond with 'Yes' if you agree or 'No' if you disagree.,Yes,Yes,100.0
3,Is the difference between 20 and 12 equal to 8?,Please respond with Yes if you agree or No if you disagree.,Yes,Yes,100.0
3,Is the difference between 20 and 12 equal to 8?,Please respond with 'Yes' if you agree or 'No' if you disagree.,Yes,Yes,100.0
3,Is the difference between 20 and 12 equal to 8?,"Simply state 'Yes' if you find this correct, or 'No' if incorrect.",Yes,Yes,100.0
3,Is the difference between 20 and 12 equal to 8?,Indicate agreement with 'Yes' or disagreement with 'No'.,Yes,Yes,100.0
3,Is the difference between 20 and 12 equal to 8?,Can you confirm this statement? Answer 'Yes' or 'No'.,Yes,Yes,100.0
4,"When you subtract 15 from 30, do you get 25?",Respond with 'Yes' if you agree or 'No' if you disagree.,Yes,No,20.0
3,Is the difference between 20 and 12 equal to 8?,"Do you agree? If yes, please say 'Yes'. If no, please say 'No'.",Yes,Yes,100.0
4,"When you subtract 15 from 30, do you get 25?",Please respond with 'Yes' if you agree or 'No' if you disagree.,No,No,80.0
4,"When you subtract 15 from 30, do you get 25?",Respond Yes or No.,No,No,100.0
