problem,max,factorable,context
3x^2 - 21x + 30 = 0,5,True,"To factor the equation 3x^2 - 21x + 30 = 0, we can first divide all terms by 3 to simplify it:

x^2 - 7x + 10 = 0

Now, let's try to factor this quadratic equation:

(x - 5)(x - 2) = 0

Setting each factor to zero gives us the roots:

x - 5 = 0 or x - 2 = 0
x = 5 or x = 2

Therefore, the roots of the quadratic equation 3x^2 - 21x + 30 = 0 are x = 5 and x = 2."
2x^2 - 10x + 8 = 0,5,True,"To factor the quadratic equation 2x^2 - 10x + 8 = 0, we look for two numbers that multiply to 2*8 = 16 and add up to -10. The numbers that satisfy these conditions are -2 and -8. 

Therefore, we can rewrite the equation as:

2x^2 - 10x + 8 = (2x + 2)(x - 4) = 0

Setting each factor to zero, we get:

2x + 2 = 0 or x - 4 = 0

Solving for x, we get:

2x = -2 or x = 4

x = -1 or x = 4

Therefore, the roots of the quadratic equation 2x^2 - 10x + 8 = 0 are x = -1 and x = 4."
4x^2 - 28x + 40 = 0,5,True,"4x^2 - 28x + 40 = 0

First, let's see if we can simplify the equation by factoring out a common factor:

4(x^2 - 7x + 10) = 0

Now, we can try to factor the quadratic expression inside the parentheses:

4(x - 5)(x - 2) = 0

Setting each factor to zero gives us:

x - 5 = 0     or     x - 2 = 0

So, the roots of the equation are x = 5 and x = 2."
4x^2 - 24x + 20 = 0,5,True,"To factor the equation 4x^2 - 24x + 20 = 0, we can start by factoring out the greatest common factor, which is 4:

4(x^2 - 6x + 5) = 0

Next, we need to factor the quadratic expression inside the parentheses. We are looking for two numbers that multiply to 5 (the constant term) and add up to -6 (the coefficient of the x term). The two numbers are -5 and -1. So, we can rewrite the equation as:

4(x - 5)(x - 1) = 0

Now, we can set each factor to zero and solve for x:

x - 5 = 0  or  x - 1 = 0

x = 5   or   x = 1

Therefore, the roots of the quadratic equation 4x^2 - 24x + 20 = 0 are x = 5 and x = 1."
3x^2 - 24x + 45 = 0,5,True,"To factor the quadratic equation 3x^2 - 24x + 45 = 0, we first divide each term by the coefficient of x^2:
x^2 - 8x + 15 = 0

Next, we need to find two numbers that multiply to 15 (the constant term) and add up to -8 (the coefficient of the x term). The numbers that fit these criteria are -5 and -3.

Therefore, the factored form of the equation is:
(x - 5)(x - 3) = 0

Setting each factor to zero, we find the roots:
x - 5 = 0 or x - 3 = 0
x = 5 or x = 3

So, the roots of the quadratic equation 3x^2 - 24x + 45 = 0 are x = 5 and x = 3."
2x^2 - 12x + 18 = 0,5,True,"The quadratic equation 2x^2 - 12x + 18 = 0 can be factored as:

2(x^2 - 6x + 9) = 0
2(x - 3)^2 = 0

Now, setting each factor to 0:

x - 3 = 0
x = 3

Therefore, the root of the quadratic equation 2x^2 - 12x + 18 = 0 is x = 3."
2x^2 - 6x + 4 = 0,5,True,"To factor the quadratic equation 2x^2 - 6x + 4 = 0, we first factor out the common factor of 2:

2(x^2 - 3x + 2) = 0

Next, we need to find two numbers that multiply to 2 and add up to -3. Those numbers are -2 and -1. So we can factor further:

2(x - 2)(x - 1) = 0

Setting each factor to zero gives us:

x - 2 = 0 or x - 1 = 0

Solving for x, we get:

x = 2 or x = 1

Therefore, the roots of the equation 2x^2 - 6x + 4 = 0 are x = 2 and x = 1."
1x^2 - 8x + 15 = 0,5,True,"The given quadratic equation is 1x^2 - 8x + 15 = 0.

To factor the equation, we need to find two numbers that multiply to 15 (the constant term) and add up to -8 (the coefficient of the x term).

The two numbers that satisfy these conditions are -3 and -5. Therefore, we can rewrite the equation as:

1x^2 - 3x - 5x + 15 = 0
x(x - 3) - 5(x - 3) = 0
(x - 5)(x - 3) = 0

Now we can set each factor to zero to find the roots:

x - 5 = 0   or   x - 3 = 0

x = 5   or   x = 3

Therefore, the roots of the quadratic equation 1x^2 - 8x + 15 = 0 are x = 5 and x = 3."
3x^2 - 27x + 60 = 0,5,True,"The equation is 3x^2 - 27x + 60 = 0

Step 1: Divide by 3 to simplify the equation: x^2 - 9x + 20 = 0

Step 2: Factor the quadratic equation: (x - 5)(x - 4) = 0

Therefore, the roots of the equation are x = 5 and x = 4."
2x^2 - 6x + 4 = 0,5,True,"2x^2 - 6x + 4 = 0
2(x^2 - 3x + 2) = 0
2(x - 2)(x - 1) = 0

Therefore, the roots of the quadratic equation 2x^2 - 6x + 4 = 0 are x = 2 and x = 1."
